Prix,Marque,Modele,Annee,Age,Kilometrage,Energie,Boite_Vitesses,Puissance_Fiscale
198000.0,ALFA,"ALFA ROMEO GIULIA
2.0 TURBO SUPER BVA Version unique",2025,0,0,Essence,Automatique,11.0
198000.0,JETOUR,"JETOUR T2
2.0 TURBO Version unique",2025,0,0,Essence,Automatique,14.0
199000.0,AUDI,"AUDI Q3
35 TFSI ADVANCED LINE S-TRONIC Version unique",2025,0,0,Essence,Automatique,9.0
199800.0,GEELY,"GEELY TUGELLA
2.0 L TURBO 4WD GF+ Version unique",2025,0,0,Essence,Automatique,14.0
169900.0,BMW,"BMW X1 18i sDrive Collection ""Edition Spéciale""",2025,0,0,Essence,Automatique,9.0
199950.0,HYUNDAI,HYUNDAI STARIA 9 PLACES 2.2 CRDI,2025,0,0,Diesel,Manuelle,11.0
199950.0,HYUNDAI,HYUNDAI IONIQ 6 77 kWh 2WD Large Range,2025,0,0,Electrique,Automatique,4.0
199980.0,KIA,KIA EV6 Standard Range GT-Line,2025,0,0,Electrique,Automatique,3.0
201900.0,MERCEDES-BENZ,MERCEDES-BENZ CLA 200 Progressive,2025,0,0,Essence,Automatique,9.0
204900.0,MERCEDES-BENZ,MERCEDES-BENZ GLA 200 Progressive,2025,0,0,Essence,Automatique,9.0
204990.0,HONDA,"HONDA CR-V HYBRIDE
2.0 L E-HEV Version unique",2025,0,0,Hybride,Automatique,8.0
207900.0,BMW,BMW SÉRIE 3 320i Business Line,2025,0,0,Essence,Automatique,9.0
179900.0,BMW,BMW X2 18i sDrive Collection,2025,0,0,Essence,Automatique,8.0
219000.0,AUDI,"AUDI Q3 SPORTBACK
35 TFSI BUSINESS LIMITED PLUS S-TRONIC Version unique",2025,0,0,Essence,Automatique,9.0
189900.0,VOLVO,VOLVO EC40 Single Motor Ultra,2025,0,0,Electrique,Automatique,9.0
223000.0,MERCEDES-BENZ,MERCEDES-BENZ CLASSE C 180 Avantgarde,2025,0,0,Hybride,Automatique,9.0
223900.0,BMW,BMW IX1 xDrive30 xLine,2025,0,0,Electrique,Automatique,8.0
226900.0,MERCEDES-BENZ,"MERCEDES-BENZ GLB
200 AMG Version unique",2025,0,0,Essence,Automatique,9.0
229990.0,BYD,"BYD TANG EV
108.8 KWH Version unique",2025,0,0,Electrique,Automatique,9.0
235000.0,GEELY,"GEELY MONJARO
2.0 L TURBO 4WD GF+ Version unique",2025,0,0,Essence,Automatique,14.0
239900.0,GWM,"GWM TANK 500 HEV
2.0 L Version unique",2025,0,0,Hybride,Automatique,14.0
243000.0,TOYOTA,"TOYOTA COASTER
4.2 L DIESEL 23 PLACES Version unique",2025,0,0,Diesel,Manuelle,11.0
244000.0,TOYOTA,"TOYOTA LAND CRUISER 76
4.2 L Version unique",2025,0,0,Diesel,Manuelle,11.0
232900.0,BMW,BMW IX2 xDrive30 Pack M,2025,0,0,Electrique,Automatique,7.0
229900.0,BMW,BMW X1 HYBRIDE xDrive 25e Lounge,2025,0,0,Hybride,Automatique,8.0
249900.0,MERCEDES-BENZ,"MERCEDES-BENZ EQB
250+ AMG Version unique",2025,0,0,Electrique,Automatique,9.0
249950.0,HYUNDAI,"HYUNDAI AZERA HYBRIDE
1.6 L T-GDI 2WD CALLIGRAPHY BVA 6 Version unique",2025,0,0,Hybride,Automatique,9.0
249950.0,HYUNDAI,"HYUNDAI IONIQ 5 N
84 KWH 4WD Version unique",2025,0,0,Electrique,Automatique,12.0
249980.0,KIA,"KIA SORENTO HYBRIDE
1.6 T-GDI HEV Version unique",2025,0,0,Hybride,Automatique,10.0
